"Month","Year","Assembly_District","Democrat","Green","Independent","Libertarian","Natural Law","Non-Partisan","Other","Republican"
"April",2019,"27",14569,136,1698,487,11,8569,349,11529
"April",2019,"28",11877,20,713,165,0,5359,249,2879
"April",2019,"29",15194,56,1738,368,0,8987,224,13647
"April",2019,"30",13696,109,1580,409,10,7487,302,10704
"April",2019,"31",14096,98,2012,543,9,8453,300,16555
"April",2019,"32",8690,45,1821,380,10,6955,195,18827
"April",2019,"33",5729,21,1821,371,2,6314,110,18028
"April",2019,"34",14919,52,1420,325,0,7781,214,10082
"April",2019,"35",17705,47,1997,509,0,11764,229,14275
"April",2019,"36",12001,76,2702,465,5,8911,169,20783
"April",2019,"37",14915,39,1685,308,0,8210,201,14689
"April",2019,"38",8120,58,2460,517,2,7437,190,21573
"April",2019,"39",11271,88,2580,581,8,8558,148,26419
"April",2019,"40",11748,70,1986,482,4,7250,229,18299
"April",2019,"41",15230,54,1691,444,0,9100,191,12200
"April",2019,"42",12200,51,1050,246,0,6407,195,6393
"March",2019,"1",17757,45,1557,304,0,8382,246,11033
"March",2019,"2",13388,43,1639,343,0,8737,164,15023
"March",2019,"3",13874,50,1011,233,0,6587,255,6353
"March",2019,"4",15886,57,1878,442,0,9423,210,15992
"March",2019,"5",13365,47,1353,332,0,7359,194,10936
"March",2019,"6",17273,35,833,180,0,6295,509,2684
"March",2019,"7",17876,55,1124,193,0,7210,327,5968
"March",2019,"8",14157,51,1329,338,0,8340,192,8898
"March",2019,"9",16790,52,1792,430,0,10751,220,13095
"March",2019,"10",12509,43,1035,244,0,6135,235,6129
"March",2019,"11",11579,37,756,189,0,5477,317,2605
"March",2019,"12",16622,48,1477,293,0,8579,270,11383
"March",2019,"13",13132,35,1784,343,0,8293,181,16377
"March",2019,"14",13668,53,887,169,0,6344,315,4594
"March",2019,"15",14585,57,1180,281,0,6925,329,5767
"March",2019,"16",13425,54,1264,367,0,7933,479,5403
"March",2019,"17",18234,46,1347,282,0,8212,281,8097
"March",2019,"18",15172,70,1298,325,0,7845,291,7555
"March",2019,"19",12296,41,1824,289,0,8138,200,14727
"March",2019,"20",14335,60,1350,332,0,7507,291,8528
"March",2019,"21",13174,52,1557,343,0,7626,182,10901
"March",2019,"22",14551,35,1941,406,0,9546,174,17178
"March",2019,"23",14652,48,2447,430,0,10119,170,22180
"March",2019,"24",15757,188,1513,539,5,8989,497,7950
"March",2019,"25",15599,121,2053,538,9,9228,352,19785
"March",2019,"26",15267,111,2211,657,7,10526,367,21834
"March",2019,"27",14541,136,1697,483,11,8554,351,11489
"March",2019,"28",11834,20,709,162,0,5335,249,2840
"March",2019,"29",15169,56,1721,364,0,8928,219,13554
"March",2019,"30",13684,110,1570,411,10,7475,304,10671
"March",2019,"31",14059,99,2002,540,9,8428,300,16500
"March",2019,"32",8664,47,1810,379,10,6932,193,18774
"March",2019,"33",5726,21,1813,364,2,6267,111,17973
"March",2019,"34",14879,53,1411,325,0,7711,214,10030
"March",2019,"35",17561,47,1979,500,0,11642,227,14156
"March",2019,"36",11962,74,2698,460,5,8855,168,20670
"March",2019,"37",14839,41,1671,303,0,8160,202,14654
"March",2019,"38",8113,58,2452,513,2,7396,188,21499
"March",2019,"39",11253,88,2571,580,8,8515,147,26342
"March",2019,"40",11732,71,1974,479,4,7191,229,18225
"March",2019,"41",15098,54,1667,441,0,9010,192,12076
"March",2019,"42",12155,51,1045,245,0,6325,195,6369
"September",2018,"1",17873,46,1607,295,0,8402,265,11184
"September",2018,"2",13559,45,1649,352,0,8674,173,15465
"September",2018,"3",13724,59,1029,237,0,6443,263,6409
"September",2018,"4",15949,60,1891,451,0,9299,240,15996
"September",2018,"5",13600,50,1365,320,0,7289,214,11062
"September",2018,"6",17254,38,808,168,0,6106,552,2669
"September",2018,"7",17992,63,1099,196,0,7226,345,6042
"September",2018,"8",14080,53,1321,339,0,8240,212,8927
"September",2018,"9",16371,61,1744,446,0,10476,231,13047
"September",2018,"10",12547,54,1009,259,0,6024,251,6213
"September",2018,"11",11485,43,747,179,0,5399,348,2600
"September",2018,"12",16579,51,1474,304,0,8376,305,11242
"September",2018,"13",13253,42,1794,353,0,8303,205,16409
"September",2018,"14",13637,57,890,185,0,6255,330,4657
"September",2018,"15",14695,69,1195,280,0,6835,370,5810
"September",2018,"16",13445,62,1246,381,0,7765,523,5404
"September",2018,"17",18017,49,1322,296,0,8124,306,8229
"September",2018,"18",15165,78,1300,331,0,7838,336,7591
"September",2018,"19",12289,45,1851,297,0,8034,220,14649
"September",2018,"20",14435,65,1373,336,0,7458,334,8677
"September",2018,"21",13355,57,1562,341,0,7669,210,11138
"September",2018,"22",14796,41,1990,410,0,9491,205,17388
"September",2018,"23",14680,52,2458,425,0,9897,191,22162
"September",2018,"24",15127,194,1461,531,5,8377,488,7665
"September",2018,"25",15116,117,1970,532,9,8729,356,19292
"September",2018,"26",14647,108,2109,615,7,9748,368,21178
"September",2018,"27",14007,142,1621,458,9,7998,360,11161
"September",2018,"28",11907,24,695,160,0,5246,279,2898
"September",2018,"29",15188,60,1711,397,0,8953,244,13773
"September",2018,"30",13219,116,1510,381,10,7033,314,10316
"September",2018,"31",13629,104,1929,506,10,7829,300,15966
"September",2018,"32",8434,48,1710,364,11,6519,191,18120
"September",2018,"33",5688,17,1773,360,3,6026,112,17455
"September",2018,"34",14908,60,1422,339,0,7652,241,10208
"September",2018,"35",17372,47,1928,501,0,11351,242,14214
"September",2018,"36",11718,75,2600,458,5,8448,180,20059
"September",2018,"37",14993,45,1679,302,0,7999,208,14812
"September",2018,"38",7938,57,2348,473,2,7015,168,20706
"September",2018,"39",11005,87,2477,552,8,7988,141,25515
"September",2018,"40",11325,72,1898,448,3,6724,221,17662
"September",2018,"41",15044,62,1655,425,0,8865,211,12077
"September",2018,"42",12203,55,1050,250,0,6296,213,6413
"July",2019,"1",18144,45,1600,314,0,8623,241,11270
"July",2019,"2",13644,42,1697,358,0,8976,163,15256
"July",2019,"3",14135,54,1049,240,0,6810,258,6415
"July",2019,"4",16265,56,1950,472,0,9827,219,16402
"July",2019,"5",13680,46,1385,341,0,7600,198,11067
"July",2019,"6",17481,34,865,186,0,6411,509,2743
"July",2019,"7",18136,54,1147,206,0,7379,318,6105
"July",2019,"8",14528,48,1388,343,0,8722,194,9098
"July",2019,"9",17392,49,1847,448,0,11255,221,13553
"July",2019,"10",12790,39,1100,255,0,6301,232,6220
"July",2019,"11",11773,41,790,195,0,5585,314,2663
"July",2019,"12",16984,48,1523,303,0,8884,267,11681
"July",2019,"13",13349,30,1827,356,0,8572,184,16642
"July",2019,"14",13858,54,919,170,0,6543,312,4630
"July",2019,"15",14851,58,1229,289,0,7090,325,5814
"July",2019,"16",13764,55,1309,382,0,8056,487,5531
"July",2019,"17",18719,48,1402,300,0,8458,276,8322
"July",2019,"18",15499,70,1372,349,0,8147,289,7714
"July",2019,"19",12655,42,1908,296,0,8400,207,15130
"July",2019,"20",14654,59,1392,354,0,7704,292,8697
"July",2019,"21",13461,51,1589,352,0,7863,178,11093
"July",2019,"22",14834,35,2005,424,0,9850,183,17528
"July",2019,"23",15009,44,2542,451,0,10479,175,22735
"July",2019,"24",15443,173,1511,531,6,8850,492,7807
"July",2019,"25",15591,123,2030,528,11,9261,347,19617
"July",2019,"26",15330,109,2243,664,8,10611,369,21868
"July",2019,"27",14468,134,1698,489,9,8522,341,11475
"July",2019,"28",12105,21,732,169,0,5447,254,2912
"July",2019,"29",15556,55,1816,386,0,9254,220,13823
"July",2019,"30",13711,104,1598,424,10,7542,309,10634
"July",2019,"31",14027,102,1988,549,10,8539,290,16405
"July",2019,"32",8685,42,1834,374,13,7029,195,18989
"July",2019,"33",5733,23,1839,375,2,6434,114,18237
"July",2019,"34",15114,50,1448,340,0,7939,211,10247
"July",2019,"35",18128,42,2057,535,0,12205,233,14561
"July",2019,"36",12084,75,2715,474,6,9070,180,21091
"July",2019,"37",15192,41,1735,313,0,8371,201,14842
"July",2019,"38",8106,56,2501,520,2,7511,192,21595
"July",2019,"39",11281,86,2612,589,8,8669,147,26580
"July",2019,"40",11869,70,2035,488,4,7380,231,18393
"July",2019,"41",15562,55,1751,467,0,9438,192,12496
"July",2019,"42",12367,51,1067,246,0,6605,192,6411
"August",2019,"1",18316,45,1619,321,0,8712,238,11369
"August",2019,"2",13815,42,1725,361,0,9088,164,15345
"August",2019,"3",14239,53,1069,241,0,6872,259,6452
"August",2019,"4",16399,56,1982,482,0,9971,219,16507
"August",2019,"5",13782,47,1408,351,0,7690,202,11105
"August",2019,"6",17615,34,881,187,0,6474,512,2766
"August",2019,"7",18252,55,1159,212,0,7431,317,6143
"August",2019,"8",14679,47,1410,349,0,8845,192,9149
"August",2019,"9",17626,49,1879,458,0,11443,225,13693
"August",2019,"10",12931,39,1112,260,0,6349,230,6255
"August",2019,"11",11862,41,796,198,0,5618,313,2693
"August",2019,"12",17096,47,1547,302,0,9005,265,11794
"August",2019,"13",13455,31,1851,364,0,8684,185,16723
"August",2019,"14",13966,53,926,169,0,6600,310,4652
"August",2019,"15",14939,58,1249,294,0,7134,327,5859
"August",2019,"16",13929,53,1348,389,0,8161,489,5581
"August",2019,"17",18946,48,1425,304,0,8590,276,8388
"August",2019,"18",15671,68,1396,355,0,8256,287,7765
"August",2019,"19",12747,42,1929,302,0,8506,207,15283
"August",2019,"20",14808,59,1417,364,0,7824,295,8769
"August",2019,"21",13549,51,1611,351,0,7962,180,11166
"August",2019,"22",15006,35,2026,426,0,9946,185,17646
"August",2019,"23",15135,44,2566,461,0,10577,176,22904
"August",2019,"24",15612,172,1529,532,6,8952,489,7850
"August",2019,"25",15760,121,2049,537,11,9394,350,19771
"August",2019,"26",15526,107,2280,676,8,10734,371,22046
"August",2019,"27",14597,132,1733,493,9,8621,344,11553
"August",2019,"28",12208,21,744,173,0,5524,254,2930
"August",2019,"29",15730,54,1850,390,0,9402,226,13920
"August",2019,"30",13874,103,1620,431,10,7648,313,10714
"August",2019,"31",14139,101,2012,559,10,8687,291,16493
"August",2019,"32",8751,41,1852,378,13,7140,198,19113
"August",2019,"33",5764,22,1858,383,2,6522,119,18386
"August",2019,"34",15253,50,1468,343,0,8066,208,10292
"August",2019,"35",18310,42,2092,549,0,12390,238,14710
"August",2019,"36",12091,75,2719,482,6,9149,180,21141
"August",2019,"37",15315,41,1750,321,0,8440,201,14907
"August",2019,"38",8130,55,2515,528,2,7586,190,21704
"August",2019,"39",11351,87,2616,597,8,8793,145,26770
"August",2019,"40",11944,70,2062,502,4,7474,234,18500
"August",2019,"41",15730,54,1798,472,0,9622,192,12624
"August",2019,"42",12448,52,1090,253,0,6683,196,6444
"September",2019,"1",17890,43,1586,301,0,8459,224,11032
"September",2019,"2",13424,40,1658,341,0,8787,159,14887
"September",2019,"3",13824,53,1041,228,0,6590,245,6271
"September",2019,"4",15973,56,1950,455,0,9644,206,16040
"September",2019,"5",13433,43,1365,333,0,7430,191,10781
"September",2019,"6",17109,31,835,187,0,6202,479,2678
"September",2019,"7",17731,54,1114,206,0,7151,308,5980
"September",2019,"8",14254,45,1376,318,0,8576,181,8893
"September",2019,"9",17176,45,1835,430,0,11078,216,13266
"September",2019,"10",12534,36,1071,253,0,6070,218,6069
"September",2019,"11",11483,37,763,188,0,5391,296,2610
"September",2019,"12",16691,49,1508,286,0,8735,253,11522
"September",2019,"13",13170,31,1787,354,0,8462,178,16328
"September",2019,"14",13486,49,886,159,0,6309,294,4497
"September",2019,"15",14515,53,1211,289,0,6855,317,5689
"September",2019,"16",13429,52,1293,367,0,7813,461,5375
"September",2019,"17",18358,46,1385,294,0,8270,265,8134
"September",2019,"18",15225,67,1352,341,0,7965,274,7496
"September",2019,"19",12437,39,1879,290,0,8228,201,14956
"September",2019,"20",14338,55,1375,350,0,7487,284,8510
"September",2019,"21",13177,48,1561,343,0,7683,174,10850
"September",2019,"22",14621,34,1989,403,0,9661,181,17176
"September",2019,"23",14855,38,2507,450,0,10332,173,22437
"September",2019,"24",15823,168,1545,542,6,8989,488,7888
"September",2019,"25",15824,120,2067,535,11,9423,351,19733
"September",2019,"26",15624,102,2277,675,8,10797,374,22066
"September",2019,"27",14668,127,1741,499,9,8652,340,11561
"September",2019,"28",11761,19,718,161,0,5286,244,2819
"September",2019,"29",15298,51,1793,377,0,9088,219,13479
"September",2019,"30",13944,102,1632,436,9,7708,312,10700
"September",2019,"31",14219,99,2010,561,10,8721,292,16528
"September",2019,"32",8785,41,1863,374,13,7156,199,19164
"September",2019,"33",5752,21,1866,386,3,6544,119,18387
"September",2019,"34",14839,49,1425,338,0,7741,207,9982
"September",2019,"35",17846,37,2036,531,0,12079,231,14323
"September",2019,"36",12054,73,2702,483,6,9082,178,21034
"September",2019,"37",14924,40,1721,308,0,8135,192,14573
"September",2019,"38",8160,55,2521,530,2,7643,192,21788
"September",2019,"39",11382,87,2636,600,8,8832,146,26855
"September",2019,"40",12006,71,2086,501,4,7514,236,18555
"September",2019,"41",15350,52,1769,454,0,9367,180,12293
"September",2019,"42",12059,48,1074,244,0,6455,186,6240
"January",2020,"1",18581,39,1702,319,0,9140,229,11377
"January",2020,"2",13962,38,1741,361,0,9288,161,15192
"January",2020,"3",14344,49,1083,240,0,7062,251,6393
"January",2020,"4",16684,51,2064,480,0,10374,219,16520
"January",2020,"5",13913,42,1421,358,0,7900,198,10962
"January",2020,"6",17811,29,963,197,0,6663,471,2814
"January",2020,"7",18407,52,1187,216,0,7695,307,6119
"January",2020,"8",14987,43,1448,336,0,9250,188,9131
"January",2020,"9",18167,42,1947,459,0,11978,220,13814
"January",2020,"10",12987,37,1165,269,0,6523,224,6232
"January",2020,"11",12050,35,835,196,0,5784,295,2719
"January",2020,"12",17469,47,1575,305,0,9404,257,11959
"January",2020,"13",13530,30,1854,374,0,8920,182,16695
"January",2020,"14",14024,42,943,169,0,6751,297,4621
"January",2020,"15",15178,53,1285,308,0,7392,306,5898
"January",2020,"16",14275,50,1401,379,0,8403,468,5551
"January",2020,"17",19328,43,1467,305,0,9004,273,8455
"January",2020,"18",15960,67,1457,352,0,8572,273,7749
"January",2020,"19",12882,35,1959,313,0,8812,215,15465
"January",2020,"20",15035,54,1460,368,0,8001,283,8708
"January",2020,"21",13663,46,1622,360,0,8135,182,11080
"January",2020,"22",15191,30,2078,415,0,10219,187,17517
"January",2020,"23",15401,35,2623,452,0,10986,178,23071
"January",2020,"24",16299,156,1598,547,6,9435,480,7991
"January",2020,"25",16267,117,2110,558,11,9730,349,19896
"January",2020,"26",16147,98,2358,690,8,11328,368,22332
"January",2020,"27",14937,121,1784,514,9,8989,341,11654
"January",2020,"28",12331,20,806,175,0,5661,240,2927
"January",2020,"29",15892,50,1870,395,0,9665,227,13845
"January",2020,"30",14262,100,1666,448,9,8148,312,10764
"January",2020,"31",14567,98,2055,578,10,9138,300,16725
"January",2020,"32",8597,38,1809,367,11,7085,196,18862
"January",2020,"33",4781,14,1463,287,3,5237,83,15841
"January",2020,"34",15390,46,1482,357,0,8254,211,10226
"January",2020,"35",18756,35,2135,545,0,13033,235,14806
"January",2020,"36",12423,70,2765,495,6,9655,179,21615
"January",2020,"37",15518,37,1797,317,0,8571,196,14900
"January",2020,"38",8239,53,2569,551,2,8281,200,22073
"January",2020,"39",11617,83,2662,608,8,9351,144,27256
"January",2020,"40",12249,65,2144,519,4,7911,237,18661
"January",2020,"41",16172,53,1861,476,0,10143,197,12730
"January",2020,"42",12615,44,1119,266,0,6961,186,6441
"January",2021,"1",20464,34,2058,356,0,11225,810,12674
"January",2021,"2",15181,41,2123,412,0,11082,646,16248
"January",2021,"3",14760,43,1242,293,0,8155,587,6771
"January",2021,"4",18112,46,2464,532,0,12452,818,18101
"January",2021,"5",15029,50,1740,375,0,9598,640,11773
"January",2021,"6",17467,24,1009,177,0,7203,668,2903
"January",2021,"7",19382,52,1341,251,0,9002,690,6685
"January",2021,"8",16836,52,1789,356,0,11789,839,10633
"January",2021,"9",21057,57,2569,527,0,15418,1043,16270
"January",2021,"10",13467,51,1262,252,0,7679,628,6593
"January",2021,"11",12144,30,828,177,0,6234,481,2769
"January",2021,"12",19140,45,1873,336,0,11463,835,13504
"January",2021,"13",14429,28,2213,430,0,10492,616,18257
"January",2021,"14",14493,48,1065,197,0,7701,601,5071
"January",2021,"15",15530,56,1399,283,0,8296,554,6355
"January",2021,"16",13433,64,1424,334,0,8614,672,5728
"January",2021,"17",21930,48,1779,356,0,11403,884,9543
"January",2021,"18",17144,66,1665,354,0,10290,780,8745
"January",2021,"19",13563,33,2172,350,0,10622,640,17002
"January",2021,"20",15640,58,1617,359,0,9277,677,9286
"January",2021,"21",14640,54,1861,358,0,9762,585,12092
"January",2021,"22",16225,33,2477,443,0,12032,728,18983
"January",2021,"23",16490,35,3068,489,0,13287,672,24675
"January",2021,"24",16875,112,1705,544,6,10420,694,8010
"January",2021,"25",17573,103,2344,620,10,11352,713,20688
"January",2021,"26",17859,90,2705,757,10,13304,784,23334
"January",2021,"27",16465,116,2017,596,12,10718,657,12272
"January",2021,"28",12976,28,912,160,0,6674,531,3239
"January",2021,"29",16974,49,2163,455,0,11503,704,14993
"January",2021,"30",15421,98,1896,504,10,10175,683,11542
"January",2021,"31",15948,88,2370,645,8,11295,696,18043
"January",2021,"32",8956,42,1997,448,10,8738,452,21204
"January",2021,"33",5397,19,1885,391,4,7703,306,19852
"January",2021,"34",16637,57,1769,383,0,9811,668,10977
"January",2021,"35",21597,51,2768,568,0,17031,1134,17901
"January",2021,"36",13491,60,3105,561,5,12219,721,24444
"January",2021,"37",16698,40,2002,360,0,10096,621,15969
"January",2021,"38",7810,44,2529,561,6,9658,430,22365
"January",2021,"39",11775,63,2701,619,12,10349,445,28313
"January",2021,"40",13653,57,2484,609,4,10151,546,20266
"January",2021,"41",18464,62,2364,511,0,13308,932,14803
"January",2021,"42",13606,47,1316,265,0,8493,607,7200
"February",2022,"1",12587,20,1335,247,0,8323,944,7929
"February",2022,"2",19208,44,2800,491,0,16480,1781,18818
"February",2022,"3",18104,42,1813,392,0,13059,1480,10282
"February",2022,"4",16736,36,2404,488,0,13442,1481,17041
"February",2022,"5",14137,39,1673,346,0,11571,1416,9836
"February",2022,"6",19035,36,1155,210,0,10244,1336,3317
"February",2022,"7",18872,40,1498,258,0,11536,1385,7250
"February",2022,"8",14134,30,1667,345,0,12821,1532,9668
"February",2022,"9",14255,34,1808,374,0,12877,1454,10808
"February",2022,"10",13083,43,1395,274,0,9906,1185,8046
"February",2022,"11",14512,43,1217,229,0,10344,1132,3582
"February",2022,"12",18847,41,1860,305,0,13581,1524,12227
"February",2022,"13",17402,29,2641,514,0,14841,1605,19279
"February",2022,"14",15237,43,1343,257,0,10565,1200,5507
"February",2022,"15",15223,68,1676,390,0,13122,1380,6332
"February",2022,"16",16184,49,1822,380,0,13324,1521,10297
"February",2022,"17",22257,51,1978,399,0,15303,1933,9937
"February",2022,"18",16619,59,1676,346,0,12791,1463,8107
"February",2022,"19",11282,28,2444,377,0,12909,1029,21101
"February",2022,"20",13388,41,1339,311,0,9472,1014,6581
"February",2022,"21",15326,55,2149,404,0,12679,1298,13029
"February",2022,"22",15830,33,2548,454,0,14204,1515,17756
"February",2022,"23",14035,27,2747,401,0,12896,982,20912
"February",2022,"24",15171,82,1745,477,3,11875,1007,8146
"February",2022,"25",18543,104,2451,672,8,13187,1143,19095
"February",2022,"26",15510,68,2582,685,7,13406,1083,21950
"February",2022,"27",14756,78,1813,518,11,11313,1087,10282
"February",2022,"28",15098,25,1129,230,0,10598,1239,4210
"February",2022,"29",14816,43,1892,408,0,12441,1357,11595
"February",2022,"30",13851,75,1718,469,6,10717,1023,9653
"February",2022,"31",14589,65,2548,639,8,12532,1204,20346
"February",2022,"32",8754,29,1897,409,9,9767,681,18569
"February",2022,"33",6720,26,2389,450,4,11346,656,23775
"February",2022,"34",13669,43,1507,332,0,10088,1157,9224
"February",2022,"35",14256,29,2075,402,0,13496,1565,12465
"February",2022,"36",9294,33,2038,396,0,10598,1023,15727
"February",2022,"37",18296,43,2297,416,0,13295,1414,15190
"February",2022,"38",7160,41,2444,579,5,12386,737,21875
"February",2022,"39",11606,54,2845,687,14,12929,875,29099
"February",2022,"40",12361,50,2312,566,4,11384,795,18251
"February",2022,"41",17799,44,2455,515,0,15900,1991,13980
"February",2022,"42",15587,50,1687,314,0,12556,1449,9245
"January",2022,"1",12587,20,1335,247,0,8323,944,7929
"January",2022,"2",19208,44,2800,491,0,16480,1781,18818
"January",2022,"3",18104,42,1813,392,0,13059,1480,10282
"January",2022,"4",16736,36,2404,488,0,13442,1481,17041
"January",2022,"5",14137,39,1673,346,0,11571,1416,9836
"January",2022,"6",19035,36,1155,210,0,10244,1336,3317
"January",2022,"7",18872,40,1498,258,0,11536,1385,7250
"January",2022,"8",14134,30,1667,345,0,12821,1532,9668
"January",2022,"9",14255,34,1808,374,0,12877,1454,10808
"January",2022,"10",13083,43,1395,274,0,9906,1185,8046
"January",2022,"11",14512,43,1217,229,0,10344,1132,3582
"January",2022,"12",18847,41,1860,305,0,13581,1524,12227
"January",2022,"13",17402,29,2641,514,0,14841,1605,19279
"January",2022,"14",15237,43,1343,257,0,10565,1200,5507
"January",2022,"15",15223,68,1676,390,0,13122,1380,6332
"January",2022,"16",16184,49,1822,380,0,13324,1521,10297
"January",2022,"17",22257,51,1978,399,0,15303,1933,9937
"January",2022,"18",16619,59,1676,346,0,12791,1463,8107
"January",2022,"19",11282,28,2444,377,0,12909,1029,21101
"January",2022,"20",13388,41,1339,311,0,9472,1014,6581
"January",2022,"21",15326,55,2149,404,0,12679,1298,13029
"January",2022,"22",15830,33,2548,454,0,14204,1515,17756
"January",2022,"23",14035,27,2747,401,0,12896,982,20912
"January",2022,"24",15171,82,1745,477,3,11875,1007,8146
"January",2022,"25",18543,104,2451,672,8,13187,1143,19095
"January",2022,"26",15510,68,2582,685,7,13406,1083,21950
"January",2022,"27",14756,78,1813,518,11,11313,1087,10282
"January",2022,"28",15098,25,1129,230,0,10598,1239,4210
"January",2022,"29",14816,43,1892,408,0,12441,1357,11595
"January",2022,"30",13851,75,1718,469,6,10717,1023,9653
"January",2022,"31",14589,65,2548,639,8,12532,1204,20346
"January",2022,"32",8754,29,1897,409,9,9767,681,18569
"January",2022,"33",6720,26,2389,450,4,11346,656,23775
"January",2022,"34",13669,43,1507,332,0,10088,1157,9224
"January",2022,"35",14256,29,2075,402,0,13496,1565,12465
"January",2022,"36",9294,33,2038,396,0,10598,1023,15727
"January",2022,"37",18296,43,2297,416,0,13295,1414,15190
"January",2022,"38",7160,41,2444,579,5,12386,737,21875
"January",2022,"39",11606,54,2845,687,14,12929,875,29099
"January",2022,"40",12361,50,2312,566,4,11384,795,18251
"January",2022,"41",17799,44,2455,515,0,15900,1991,13980
"January",2022,"42",15587,50,1687,314,0,12556,1449,9245
"October",2020,"1",21116,40,2042,358,0,11073,440,13207
"October",2020,"2",15784,44,2092,425,0,11018,337,17130
"October",2020,"3",15467,49,1264,283,0,8101,368,7093
"October",2020,"4",18811,53,2459,552,0,12464,453,18944
"October",2020,"5",15689,55,1711,387,0,9649,349,12325
"October",2020,"6",18963,28,1155,196,0,7468,491,3175
"October",2020,"7",20377,61,1409,272,0,9020,437,6991
"October",2020,"8",17606,55,1814,380,0,11842,412,11085
"October",2020,"9",21853,58,2520,535,0,15325,544,16823
"October",2020,"10",14215,54,1316,268,0,7638,368,6905
"October",2020,"11",13115,39,939,190,0,6468,346,3017
"October",2020,"12",19790,51,1871,348,0,11420,471,13991
"October",2020,"13",14897,34,2200,442,0,10469,335,18931
"October",2020,"14",15321,51,1124,206,0,7812,394,5309
"October",2020,"15",16485,53,1485,311,0,8325,368,6743
